n,date,day-week,day-month,val,weekend,holiday,sequia,,,,,,,,,,,,,,,,,
125,5/5/2007,sábado,5,2040.50,1,0,0,,,,,,,,,,,,,,,,,
126,6/5/2007,domingo,6,2126.32,1,0,0,,,,,,,,,,,,,,,,,
127,7/5/2007,lunes,7,2130.51,0,0,0,,,,,,,,,,,,,,,,,
128,8/5/2007,martes,8,2061.92,0,0,0,,,,,,,,,,,,,,,,,
129,9/5/2007,miércoles,9,2096.60,0,0,0,,,,,,,,,,,,,,,,,
130,10/5/2007,jueves,10,2070.12,0,0,0,,,,,,,,,,,,,,,,,
131,11/5/2007,viernes,11,2084.35,0,0,0,,,,,,,,,,,,,,,,,
132,12/5/2007,sábado,12,2065.90,1,0,0,,,,,,,,,,,,,,,,,
133,13/5/2007,domingo,13,2083.16,1,0,0,,,,,,,,,,,,,,,,,
134,14/5/2007,lunes,14,2142.49,0,0,0,,,,,,,,,,,,,,,,,
135,15/5/2007,martes,15,2122.15,0,0,0,,,,,,,,,,,,,,,,,
136,16/5/2007,miércoles,16,2152.20,0,0,0,,,,,,,,,,,,,,,,,
137,17/5/2007,jueves,17,2119.95,0,0,0,,,,,,,,,,,,,,,,,
138,18/5/2007,viernes,18,2088.39,0,0,0,,,,,,,,,,,,,,,,,
139,19/5/2007,sábado,19,2159.07,1,0,0,,,,,,,,,,,,,,,,,
140,20/5/2007,domingo,20,2106.08,1,0,0,,,,,,,,,,,,,,,,,
141,21/5/2007,lunes,21,2118.65,0,0,0,,,,,,,,,,,,,,,,,
142,22/5/2007,martes,22,2059.25,0,0,0,,,,,,,,,,,,,,,,,
143,23/5/2007,miércoles,23,2185.52,0,0,0,,,,,,,,,,,,,,,,,
144,24/5/2007,jueves,24,2094.56,0,1,0,,,,,,,,,,,,,,,,,
145,25/5/2007,viernes,25,1951.21,0,0,0,,,,,,,,,,,,,,,,,
146,26/5/2007,sábado,26,2157.80,1,0,0,,,,,,,,,,,,,,,,,
147,27/5/2007,domingo,27,2102.07,1,0,0,,,,,,,,,,,,,,,,,
148,28/5/2007,lunes,28,2035.02,0,0,0,,,,,,,,,,,,,,,,,
149,29/5/2007,martes,29,2225.17,0,0,0,,,,,,,,,,,,,,,,,
150,30/5/2007,miércoles,30,2121.06,0,0,0,,,,,,,,,,,,,,,,,
151,31/5/2007,jueves,31,2180.61,0,0,0,,,,,,,,,,,,,,,,,
152,1/6/2007,viernes,1,2111.79,0,0,1,,,,,,,,,,,,,,,,,
153,2/6/2007,sábado,2,2048.56,1,0,1,,,,,,,,,,,,,,,,,
154,3/6/2007,domingo,3,2172.37,1,0,1,,,,,,,,,,,,,,,,,
155,4/6/2007,lunes,4,2142.48,0,0,1,,,,,,,,,,,,,,,,,
156,5/6/2007,martes,5,2243.64,0,0,1,,,,,,,,,,,,,,,,,
157,6/6/2007,miércoles,6,2120.47,0,0,1,,,,,,,,,,,,,,,,,
158,7/6/2007,jueves,7,2086.88,0,0,1,,,,,,,,,,,,,,,,,
159,8/6/2007,viernes,8,2218.98,0,0,1,,,,,,,,,,,,,,,,,
160,9/6/2007,sábado,9,2295.14,1,0,1,,,,,,,,,,,,,,,,,
161,10/6/2007,domingo,10,2141.72,1,0,1,,,,,,,,,,,,,,,,,
162,11/6/2007,lunes,11,2243.95,0,0,1,,,,,,,,,,,,,,,,,
163,12/6/2007,martes,12,2176.91,0,0,1,,,,,,,,,,,,,,,,,
164,13/6/2007,miércoles,13,2231.73,0,0,1,,,,,,,,,,,,,,,,,
165,14/6/2007,jueves,14,2077.08,0,0,1,,,,,,,,,,,,,,,,,
166,15/6/2007,viernes,15,2122.70,0,0,1,,,,,,,,,,,,,,,,,
167,16/6/2007,sábado,16,2205.35,1,0,1,,,,,,,,,,,,,,,,,
168,17/6/2007,domingo,17,2150.54,1,0,1,,,,,,,,,,,,,,,,,
169,18/6/2007,lunes,18,2139.11,0,0,1,,,,,,,,,,,,,,,,,
170,19/6/2007,martes,19,2267.21,0,0,1,,,,,,,,,,,,,,,,,
171,20/6/2007,miércoles,20,2280.99,0,0,1,,,,,,,,,,,,,,,,,
172,21/6/2007,jueves,21,2277.66,0,0,1,,,,,,,,,,,,,,,,,
173,22/6/2007,viernes,22,2107.75,0,0,1,,,,,,,,,,,,,,,,,
174,23/6/2007,sábado,23,2131.78,1,0,1,,,,,,,,,,,,,,,,,
175,24/6/2007,domingo,24,2141.95,1,0,1,,,,,,,,,,,,,,,,,
176,25/6/2007,lunes,25,2178.39,0,0,1,,,,,,,,,,,,,,,,,
177,26/6/2007,martes,26,2241.31,0,0,1,,,,,,,,,,,,,,,,,
178,27/6/2007,miércoles,27,2165.01,0,0,1,,,,,,,,,,,,,,,,,
